OBJECTID,Name,Area_Code,Work_ID,zone_code,Gov,Address,Shape_Leng,حالة الحصر,المباني المنجزة,إجمالي المباني,عدد الوحدات,نسبة الإنجاز %,عدد الفرق,عدد المهندسين,آخر تحديث بواسطة,Shape_Length,Shape_Area
229,الوسطى-وادي السلقا-مربع الجعفراوي ومربع حارة السعايدة والشرطة,MDB0003,INDAS_M016,FMDB0003_E014,الوسطى, ,4241.87235786,مناطق حصر جديدة,,366.0,212,,,,,4241.8723578559775,839008.2499826348
230,خانيونس-مربع أبراج الفرا والمنطقة المقابر,KKY0006,INDAS_K024,FKKY0006_E016,خانيونس, ,3143.22732176,مناطق حصر جديدة,,370.0,577,,,,,3143.22732175518,281335.0822732699
231,خانيونس-المعسكر-مربع كراج رفح البطن السمين ومربع صالة روان للأفراح,KKY0006,INDAS_K022,FKKY0006_E017,خانيونس, ,1801.41166489,قيد الحصر,,353.0,852,,1.0,2.0,أفنان  أبو جزر,1801.4116648876247,127965.34814086856
232,خانيونس-البلد,KKY0006,INDAS_K002,FKKY0006_E007,خانيونس,حانيونس البلد المنطقة الواقعة جنوب شارع البحر وشرق منتزة البلدية,1304.59246451,مناطق حصر جديدة,,,509,,,,,1304.5924645061152,83276.935909068
233,خانيونس-البلد,KKY0006,INDAS_K002,FKKY0006_E006,خانيونس,حانيونس البلد المنطقة الواقعة جنوب شارع البحر وشرق منتزة البلدية,1182.54544739,قيد الحصر,95.0,169.0,488,56.0,,,,1182.545447391109,74859.79016291849
234,خانيونس-البلد,KKY0006,INDAS_K002,FKKY0006_E005,خانيونس,حانيونس البلد المنطقة الواقعة جنوب شارع البحر وشرق منتزة البلدية,1109.64294611,قيد الحصر,,,415,,1.0,2.0,أفنان  أبو جزر,1109.6429461124883,63927.19264244917
235,خانيونس-مربع مركز المدينة 2 ومربع حارة الشاعر ومدرسة عبد الرحمن الأغا,KKY0004,INDAS_K023,FKKY0004_E003,خانيونس, ,2378.23877666,مناطق حصر جديدة,,,1073,,,,,2378.2387766551024,242881.37647693386
236,خانيونس-مربع مركز المدينة 1,KKY0004,INDAS_K020,FKKY0004_E004,خانيونس, ,1531.26227646,مناطق حصر جديدة,,210.0,600,,,,,1531.262276457634,111592.77376137307
237,خانيونس-المنطقة الواقعة بين مربع حارة المجايدة وحسني ومربع السيقلي والقسام,KKY0006,INDAS_K019,FKKY0006_E018,خانيونس, ,1484.15173798,مناطق حصر جديدة,,,521,,,,,1484.1517379846773,128248.49493438292
238,خانيونس-مربع شارع الترنس ومربع شارع القدرة,KKY0006,INDAS_K016,FKKY0006_E019,خانيونس, ,1217.89595535,مناطق حصر جديدة,,126.0,459,,,,,1217.8959553464135,63281.051093737406
239,خانيونس-المعسكر-مربع عيادة وكالة الظهرة ومربع بركة,KKY0007,INDAS_K017,FKKY0007_E008,خانيونس, ,1336.61860095,مناطق حصر جديدة,,329.0,623,,,,,1336.618600946408,109202.13802578815
240,خانيونس-المعسكر-مربع عيادة وكالة الظهرة ومربع بركة,KKY0007,INDAS_K017,FKKY0007_E009,خانيونس, ,1186.67447985,مناطق حصر جديدة,,162.0,604,,,,,1186.6744798514458,77718.42749000601
241,خانيونس-مربع مستشفى ناصر وأبراج النمساوي ومربع حارة المجادلة,KKY0007,INDAS_K021,FKKY0007_E010,خانيونس, ,2522.47485345,مناطق حصر جديدة,,,579,,,,,2522.47485344667,264744.19974224264
242,خانيونس-المعسكر-مربع الهلال الأحمر ومربع المدارس,KKY0006,INDAS_K018,FKKY0006_E020,خانيونس, ,2239.29140957,مناطق حصر جديدة,,,1268,,,,,2239.2914095707624,204813.2019036291
243,خانيونس-مربع مسجد أبو بكر الصديق,KKY0006,INDAS_K012,FKKY0006_E021,خانيونس, ,2234.69699962,مناطق حصر جديدة,,373.0,846,,,,,2234.6969996200805,288017.7165397841
244,خانيونس-مربع المحطة,KBS0002,INDAS_K014,FKBS0002_E003,خانيونس, ,2136.05866622,مناطق حصر جديدة,,299.0,548,,,,,2136.0586662166425,257142.02629180407
245,خانيونس-مربع المحطة,KBS0002,INDAS_K014,FKBS0002_E004,خانيونس, ,1923.99338069,مناطق حصر جديدة,,248.0,285,,,,,1923.9933806879199,166232.03738422395
246,خانيونس-المنطقة الواقعة بين كلية تدريب خانيونس والحي الياباني وحس البراق والاماراتي2,KKY0007,INDAS_K009,FKKY0007_E011,خانيونس, ,2609.69513467,مناطق حصر جديدة,,,242,,,,,2609.6951346677824,305237.86868853815
247,خانيونس-مربع المشروع الهولندي والاماراتي1,KKY0007,INDAS_K010,FKKY0007_E012,خانيونس, ,1450.52438269,مناطق حصر جديدة,,164.0,261,,,,,1450.5243826949088,105216.58016911289
248,خانيونس-حي الأمل,KKY0006,INDAS_K001,FKKY0006_E001,خانيونس,منطقة العرايشية-جنوب بركة المشروع  وفي الشرق من الاتحدا النسائي الى مسجد حسن البنا,1562.39084898,تم الانتهاء,180.0,184.0,362,98.0,,,أفنان  أبو جزر,1562.3908489792814,89708.0503272411
249,خانيونس-حي الأمل,KKY0006,INDAS_K001,FKKY0006_E002,خانيونس,منطقة العرايشية-جنوب بركة المشروع  وفي الشرق من الاتحدا النسائي الى مسجد حسن البنا,1071.56452094,قيد الحصر,,,370,,1.0,,أفنان  أبو جزر,1071.56452093702,64641.071535689305
250,خانيونس-مربع بركة حي الأمل والعرايشية مربع مسجد حسن البنا,KKY0006,INDAS_K011,FKKY0006_E022,خانيونس, ,1278.78027011,مناطق حصر جديدة,,138.0,313,,,,,1278.7802701052185,87467.57933029176
251,خانيونس-مربع مسجد الكتيبة ومربع الربوات العربية,KBS0002,INDAS_K013,FKBS0002_E005,خانيونس, ,3437.63695658,مناطق حصر جديدة,,,625,,,,,3437.636956580618,408908.88381191314
